stop_id,route_type_id
599645,0
271566,0
528423,0
581968,0
414822,0
400266,0
540353,0
568017,0
517856,0
535875,0
547295,0
451317,0
518748,0
263372,0
180656,0
351758,0
544095,0
406381,0
672916,0
397906,0
115419,0
96705,0
458883,0
17362,0
20932,0
573760,0
115520,0
315174,0
514576,0
436318,0
506821,0
28482,0
257483,0
661504,0
639074,0
215316,0
582066,0
42320,0
163870,0
297637,0
461608,0
556197,0
217153,0
147163,0
344213,0
370499,0
487165,0
63300,0
308102,0
288772,0
150818,0
126003,0
99600,0
179951,0
355951,0
266951,0
409200,0
268914,0
117979,0
483181,0
536117,0
254382,0
611298,0
556766,0
372560,0
218967,0
428587,0
72631,0
464265,0
425109,0
412727,0
600142,0
415812,0
678544,0
381259,0
194451,0
33855,0
157244,0
540511,0
601163,0
239976,0
122139,0
427622,0
190624,0
388073,0
307324,0
114304,0
642227,0
240360,0
523831,0
601983,0
137627,0
386723,0
586579,0
73261,0
209758,0
401102,0
642019,0
336657,0
307914,0
210192,0
69328,0
247125,0
518752,0
426477,0
262702,0
230424,0
585975,0
320324,0
281105,0
567489,0
76682,0
264786,0
681833,0
452798,0
349371,0
311303,0
350249,0
31630,0
401222,0
435545,0
385834,0
369216,0
142569,0
171188,0
236512,0
169132,0
228247,0
326157,0
199172,0
408620,0
328528,0
393383,0
390423,0
322016,0
641851,0
235896,0
168252,0
350585,0
680159,0
611975,0
259075,0
162106,0
591924,0
534058,0
511518,0
554049,0
482111,0
282691,0
529459,0
107732,0
618660,0
141344,0
618135,0
566460,0
642920,0
41402,0
97081,0
497001,0
455636,0
202289,0
658557,0
177403,0
36421,0
246047,0
315066,0
539402,0
277192,0
230507,0
622517,0
550880,0
642319,0
503336,0
38821,0
310527,0
253923,0
90501,0
25659,0
463529,0
246771,0
587331,0
245264,0
18705,0
452925,0
245796,0
421673,0
583067,0
577348,0
568694,0
410578,0
546123,0
51331,0
431133,0
13247,0
32987,0
318621,0
658864,0
262996,0
147143,0
496327,0
659234,0
575262,0
311324,0
38636,0
400797,0
683727,0
638720,0
220386,0
294061,0
150032,0
358695,0
159827,0
231535,0
367707,0
600660,0
345991,0
489286,0
230869,0
213619,0
263538,0
16915,0
458049,0
208089,0
443725,0
514422,0
340194,0
368507,0
457828,0
139368,0
314664,0
426629,0
99036,0
144113,0
369451,0
156316,0
311315,0
71127,0
366185,0
99206,0
529433,0
281501,0
10842,0
494798,0
251847,0
340909,0
189872,0
515751,0
239181,0
37504,0
391694,0
358720,0
200963,0
14564,0
602171,0
263069,0
620593,0
102517,0
272293,0
38842,0
653257,0
529737,0
390016,0
579078,0
609573,0
338472,0
633597,0
239939,0
511716,0
7673,0
564146,0
92079,0
181184,0
502381,0
350546,0
32774,0
365560,0
50777,0
447738,0
391014,0
311549,0
527650,0
461256,0
66769,0
299427,0
53289,0
431088,0
321219,0
347693,0
315717,0
189688,0
8765,0
565408,0
511622,0
399519,0
656968,0
441397,0
213968,0
86340,0
140853,0
575784,0
334851,0
572112,0
215192,0
594836,0
587117,0
114457,0
39200,0
636665,0
116849,0
545194,0
277892,0
454693,0
474909,0
575865,0
466277,0
476215,0
494364,0
8291,0
410188,0
670438,0
155527,0
437524,0
177157,0
280321,0
594381,0
110843,0
171701,0
497182,0
324886,0
382809,0
309285,0
649060,0
364738,0
574913,0
325114,0
442343,0
235389,0
75427,0
180603,0
580529,0
566884,0
323383,0
408983,0
378246,0
226012,0
48975,0
24773,0
89926,0
616650,0
602542,0
400993,0
561162,0
247489,0
280230,0
111057,0
494648,0
279654,0
676713,0
640999,0
301891,0
651065,0
125693,0
256589,0
415807,0
365123,0
625435,0
606663,0
159316,0
619668,0
194618,0
419145,0
520641,0
106999,0
355747,0
658106,0
148266,0
91088,0
659633,0
551752,0
64839,0
217695,0
573188,0
655721,0
552982,0
561055,0
141532,0
523439,0
141224,0
318316,0
142897,0
379888,0
308367,0
267634,0
320012,0
367453,0
68142,0
659654,0
247981,0
110547,0
110799,0
190103,0
666543,0
486256,0
268172,0
603612,0
